,Cash,Top Value,Top Growth,Mid Value,Mid Growth,Sm Value,Sm Growth
1/1/1986,0,0,0,0,0,0,0
2/1/1986,0.035311227,0.044046928,0.013061788,0.148775527,0.11263596,0.050899973,0.133780828
3/1/1986,0.025234148,-0.080162678,-0.112573393,0.023090031,-0.035221437,-0.066584267,0.010074367
4/1/1986,0.080691422,0.379738252,0.510972662,0.47097127,0.556304951,0.441296901,0.457462996
5/1/1986,0.040639844,0.580624784,0.538113221,0.609225743,0.471867656,0.402248518,0.26809767
6/1/1986,-0.000402378,0.147642929,0.122635889,0.280878553,-0.020849368,0.147687213,-0.019588788
7/1/1986,0.028299085,0.209016249,0.255710551,0.345658498,0.06285627,0.113783185,-0.002231223
8/1/1986,0.027475938,0.214773448,0.266201593,0.354797721,0.07599153,0.126974565,0.015507486
9/1/1986,0.027071944,0.206247705,0.262253105,0.347065584,0.072136508,0.123456018,0.013678963
10/1/1986,0.028395856,0.184604001,0.230448037,0.3285988,0.047369679,0.11043453,-0.010648537
11/1/1986,0.032041816,0.229847484,0.276733883,0.365453749,0.097312065,0.134160679,0.031352042
12/1/1986,-0.061181482,-0.280048149,-0.187624415,0.252325123,-0.094434831,0.181535844,0.121201493
1/1/1987,-0.031056992,-0.481457271,-0.324083596,0.076510135,-0.28542624,0.026041828,-0.09480529
2/1/1987,-0.01704549,-0.123587046,0.114381245,0.406722096,0.133063188,0.339863706,0.292862377
3/1/1987,-0.027721465,-0.129024907,-0.031120693,0.301679633,-0.03365312,0.17992794,0.076175932
4/1/1987,0.005779098,0.123301739,0.091088995,0.342769198,0.061657728,0.367302008,0.269833456
5/1/1987,0.054007527,0.077690697,-0.065263696,0.105787955,-0.193371756,0.109526053,-0.033847806
6/1/1987,0.211481709,0.231938188,0.347452563,0.128556296,0.013467395,0.129408266,-0.259286447
7/1/1987,0.223319249,0.358237344,0.469874221,0.227127678,0.113282503,0.19376499,-0.198807222
8/1/1987,0.220502875,0.335953312,0.442181776,0.203725451,0.087318697,0.171840378,-0.212453766
9/1/1987,0.217279403,0.310496538,0.41206275,0.184006832,0.061358575,0.153052951,-0.230643469
10/1/1987,0.254042328,0.181083176,0.225737463,0.067664153,-0.089022337,0.0380718,-0.366592171
11/1/1987,0.250743337,0.291217463,0.355076915,0.203311827,0.074931777,0.206877928,-0.169945123
12/1/1987,0.241044746,0.451538479,0.534946891,0.29456637,0.210914338,0.288983558,-0.040706952
1/1/1988,0.242500425,0.467280062,0.557903612,0.312160251,0.249192202,0.306283423,-0.010117591
2/1/1988,0.22765479,0.220780434,0.521698145,0.105928455,0.219154415,0.106130351,-0.067998895
3/1/1988,0.225921368,0.209766852,0.505742298,0.083134388,0.190033396,0.075262497,-0.101053843
4/1/1988,0.222173666,0.234649249,0.542231868,0.083610974,0.186558931,0.044130675,-0.142224716
5/1/1988,0.24017434,0.306951275,0.542160599,0.106666376,0.206692319,0.119711058,-0.056167844
6/1/1988,0.250408669,0.344545769,0.545705819,0.120164752,0.173135963,0.079045305,-0.118654709
7/1/1988,0.250102296,0.342649251,0.543115623,0.11672952,0.16909423,0.075353353,-0.122601241
8/1/1988,0.215897288,0.312301128,0.587479709,0.159014968,0.393884147,0.078738564,-0.012077057
9/1/1988,0.229206368,0.258436163,0.510764234,0.135567615,0.312692359,0.04646648,-0.089581216
10/1/1988,0.21058389,0.158945736,0.349245463,0.04751421,0.197271792,-0.025335849,-0.172207871
11/1/1988,0.217508969,0.190780235,0.380930805,0.05975579,0.190836706,-0.031504582,-0.189925666
12/1/1988,0.204344615,0.199392802,0.412806765,0.105033281,0.236398128,0.021363324,-0.116198314
1/1/1989,0.202647322,0.197255894,0.406929678,0.101064063,0.227609652,0.014296181,-0.127744699
2/1/1989,0.207314529,0.245511407,0.455670567,0.140766472,0.266269159,0.04480925,-0.099750336
3/1/1989,0.166970005,0.393264416,0.616860654,0.129194132,0.311242235,-0.022540674,-0.113077723
4/1/1989,0.124376016,0.261675844,0.459178348,0.019443663,0.242648192,-0.13083527,-0.268520224
5/1/1989,0.127660983,0.279526316,0.48623785,0.037756127,0.267710132,-0.114414771,-0.246586627
6/1/1989,0.129383949,0.289182449,0.496299703,0.047047112,0.280390071,-0.105345739,-0.235154873
7/1/1989,0.072211296,0.359789404,0.529435064,0.017020747,0.390023118,0.001423759,0.028291703
8/1/1989,0.064977165,0.284847837,0.411425975,-0.051309907,0.305937886,-0.031942034,-0.022009188
9/1/1989,0.083146426,0.342204232,0.433187353,0.027914278,0.408918685,0.021184459,0.054474872
10/1/1989,-0.159573732,0.558406077,0.196796881,0.590259315,0.421765994,0.212058754,-0.367283905
11/1/1989,-0.139478303,0.478104847,0.17092204,0.433164265,0.293499393,0.01545919,-0.535639588
12/1/1989,-0.129857524,0.499369514,0.21060238,0.442797982,0.328260075,0.021113125,-0.52261351
1/1/1990,-0.115063301,0.563200504,0.247403592,0.469782521,0.385441061,0.013241691,-0.496963495
2/1/1990,-0.112176354,0.53805719,0.214053628,0.438552388,0.34468488,-0.017931267,-0.542359556
3/1/1990,-0.096296327,0.605564511,0.219171079,0.486546435,0.393850679,0.039580283,-0.451704136
4/1/1990,-0.092681348,0.610622261,0.239988949,0.492692561,0.416210416,0.056860929,-0.427253009
5/1/1990,-0.074566151,0.529054966,0.219570045,0.344966932,0.341304991,-0.040250732,-0.507601669
6/1/1990,-0.073165965,0.546788983,0.241574144,0.362051476,0.36299068,-0.029443735,-0.488802767
7/1/1990,-0.060297444,0.501273128,0.261477621,0.320458062,0.386971943,-0.031404956,-0.477287877
8/1/1990,-0.075910819,0.498287272,0.266159443,0.387938405,0.463123211,0.069493086,-0.368817705
9/1/1990,-0.07468154,0.482578922,0.248820087,0.368302483,0.440623839,0.045784486,-0.396829221
10/1/1990,-0.075235108,0.485544912,0.253189312,0.375181055,0.446561077,0.053067113,-0.388526377
11/1/1990,-0.085710875,0.487792814,0.235257187,0.44408265,0.478389322,0.165479229,-0.293041642
