,"Dodge & Cox Stock","Cash","Top Value","Top Growth","Mid Value","Mid Growth","Sm Value","Sm Growth"
06/01/92,-2.23,0.31,-0.53,-2.38,-0.77,-2.98,-3.24,-6.38
07/01/92,3.1,0.27,3.77,4.49,4.01,4.46,3.77,3.14
08/01/92,-3.83,0.27,-3.14,-1.2,-2.92,-1.31,-1.95,-3.85
09/01/92,2.52,0.24,1,0.87,2,2.19,1.89,2.79
10/01/92,0.7,0.24,-1.17,1.06,2.09,3.01,2.33,4.11
11/01/92,4.04,0.27,2.67,3.76,4.22,6.32,6.19,9.33
12/01/92,1.27,0.27,1.84,0.71,3.19,1.92,4.15,2.74
01/01/93,1.82,0.26,3.16,-1.87,2.53,1.18,5.31,1.24
02/01/93,3.41,0.25,4.44,-1.1,2.16,-3.08,0.4,-5.43
03/01/93,2.4,0.25,2.6,1.62,3.47,2.9,3.79,2.58
04/01/93,1.15,0.24,-0.97,-3.97,-1.76,-4.11,-2.4,-3.17
05/01/93,3.02,0.25,1.85,3.11,2.25,4.72,3.15,6
06/01/93,0.61,0.26,2.28,-1.08,2.08,-0.41,0.94,0.24
07/01/93,0,0.26,1.13,-2.39,1.1,-0.32,1.72,1
08/01/93,4.16,0.26,3.73,3.38,3.41,5.81,3.91,4.79
09/01/93,-0.73,0.25,0.4,-1.58,-0.26,1.2,2.4,3.3
10/01/93,0.76,0.26,0.54,3.3,-1.13,1.61,2.29,2.89
11/01/93,-1.08,0.27,-1.92,0.07,-2.31,-2.33,-2.55,-4.05
12/01/93,1.58,0.26,1.11,0.76,3.3,4.01,2.94,3.95
01/01/94,5.69,0.25,4.28,2.2,2.91,2.57,3.56,2.66
02/01/94,-2.24,0.28,-4.34,-2.25,-1.78,-0.86,-0.29,-0.44
03/01/94,-3.86,0.3,-3.63,-4.89,-3.87,-4.71,-4.48,-6.14
04/01/94,1.36,0.32,2.17,0.8,1.47,-0.24,0.98,0.15
05/01/94,1.81,0.36,1.74,2.12,0.13,0.15,-0.14,-2.24
06/01/94,-2.45,0.36,-2.71,-2.35,-1.84,-4.3,-2.6,-4.27
07/01/94,3.68,0.37,2.62,3.71,4,2.77,1.85,1.43
08/01/94,4.7,0.38,2.4,5.4,3.71,5.97,3.93,7.34
09/01/94,-2.88,0.4,-3.43,-1.24,-3.13,-1.65,-1.06,0.42
10/01/94,2.4,0.42,2.24,2.64,-0.09,1.73,-1.83,1.07
11/01/94,-3.82,0.46,-3.83,-2.67,-4.41,-4.41,-4.04,-4.05
12/01/94,1.28,0.49,1.12,1.8,1.21,1.4,3,2.36
01/01/95,1.84,0.5,3.22,2.53,2.82,1.2,-0.48,-2.04
02/01/95,4.33,0.49,3.35,3.72,5.05,5.32,3.7,4.62
03/01/95,3.34,0.49,2.37,2.48,1.88,3.97,0.49,2.92
04/01/95,2.98,0.48,3.74,2.77,2.12,0.84,2.97,1.5
05/01/95,4.29,0.49,4.31,3.92,4.02,2.47,2.14,1.31
06/01/95,1.07,0.47,0.83,3.57,2.31,4.55,3.42,6.89
07/01/95,4.01,0.47,3.48,3.19,3.49,6.29,3.65,7.79
08/01/95,1.49,0.46,1.14,-0.35,1.96,1.09,2.97,1.23
09/01/95,2.3,0.45,4.28,5.75,2.29,2.23,1.49,2.06
10/01/95,-3.05,0.45,-0.52,1.27,-1.95,-2.53,-3.99,-4.92
11/01/95,5.16,0.46,4.87,3.63,5.47,4.47,3.97,4.41
12/01/95,1.77,0.44,3.21,0.8,1.09,0.06,3.1,2.22
01/01/96,2.43,0.43,3.44,4.03,2.43,1.77,0.66,-0.83
02/01/96,1.47,0.41,0.66,0.99,0.95,3.78,1.57,4.56
03/01/96,2.27,0.42,1.51,-0.16,2.11,0.79,2.1,1.98
04/01/96,3.31,0.39,0.17,1.65,0.85,4.83,2.73,7.68
05/01/96,1.24,0.43,1.39,4.16,0.95,2.04,2.53,5.13
06/01/96,-1.27,0.44,0.07,1.56,0.11,-3.02,-1.18,-6.5
07/01/96,-4.19,0.44,-3.3,-5.07,-4.76,-7.76,-5.32,-12.21
08/01/96,3.57,0.43,2.22,1.44,4.19,5.4,4.34,7.4
09/01/96,3.12,0.44,4.12,7.67,3.67,6.35,2.73,5.15
10/01/96,1.61,0.43,4.46,1.34,2.63,-1.17,1.16,-4.31
11/01/96,8.63,0.43,7.72,8.18,6.28,5.89,5.38,2.78
12/01/96,-1.37,0.4,-1.68,-2.07,-0.42,-1.68,3.25,1.95
01/01/97,3.66,0.43,5.65,8.04,3.14,4.42,1.54,2.5
02/01/97,0.74,0.43,1.36,-0.09,1.7,-2.2,0.95,-6.04
03/01/97,-1.89,0.44,-3.85,-5.32,-3.04,-5.65,-2.68,-7.06
04/01/97,3.83,0.44,4.98,8.21,2.52,2.45,1.47,-1.16
05/01/97,6.6,0.44,5.44,6.6,5.9,8.96,7.96,15.03
06/01/97,4.28,0.42,4.56,4.45,3.71,2.77,5.06,3.39
07/01/97,8.06,0.43,7.57,8.61,7.43,9.57,4.2,5.12
08/01/97,-2.55,0.44,-4.74,-7.46,-1.17,-0.98,1.59,3
09/01/97,4.68,0.42,5.97,4.87,6.2,5.06,6.65,7.98
10/01/97,-3.98,0.42,-2.67,-3.23,-3.04,-5.01,-2.72,-6.01
11/01/97,1.55,0.44,4.96,5.37,3.37,1.05,1.1,-2.38
12/01/97,1.02,0.45,2.47,1.06,3.83,1.31,3.39,0.06
01/01/98,-0.53,0.44,-1.15,4.59,-1.94,-1.8,-1.81,-1.33
02/01/98,5.28,0.45,6.76,6.94,6.68,9.4,6.05,8.83
03/01/98,4.78,0.44,6.6,3.92,5.15,4.19,4.06,4.2
04/01/98,1.48,0.44,1.27,1.39,-0.56,1.36,0.49,0.61
05/01/98,-2.67,0.44,-1.07,-2.43,-2.33,-4.11,-3.54,-7.27
06/01/98,0.18,0.44,1.74,7.16,0.32,2.83,-0.57,1.02
07/01/98,-5.19,0.43,-0.03,0.27,-5.07,-4.28,-7.83,-8.35
08/01/98,-13.58,0.43,-15.29,-14.01,-14.06,-19.09,-15.66,-23.08
09/01/98,4.61,0.41,5.69,7.71,5.84,7.56,5.65,10.14
10/01/98,7.78,0.35,8.38,8.19,6.48,7.36,2.97,5.22
11/01/98,5.06,0.39,5.23,7.8,3.51,6.75,2.71,7.76
12/01/98,0.03,0.39,3.58,8.72,3.04,10.36,3.14,9.05
01/01/99,-0.03,0.38,2.33,6.53,-2.33,3,-2.27,4.5
02/01/99,-1.09,0.39,-1.04,-4.5,-2.2,-4.89,-6.83,-9.15
03/01/99,5.72,0.39,2.37,5.2,1.43,5.57,-0.82,3.56
04/01/99,11.71,0.37,9.28,-0.84,9.47,4.56,9.13,8.83
05/01/99,-0.12,0.39,-1.78,-3.48,0.42,-1.29,3.07,0.16
