,ML U.S. Treasury Bills 0-3 Months,ML U.S. Treasuries 10+ Yrs,ML U.S. Treasuries 3-5 Yrs,ML U.S. Corporates 1-3 Yrs,ML U.S. Corporates 3-5 Yrs,ML U.S. Corporates 10+ Yrs,ML Mortgage Master Index
,"Return, %","Return, %","Return, %","Return, %","Return, %","Return, %","Return, %"
,Total,Total,Total,Total,Total,Total,Total
7-Nov,0.380368,4.538378,3.115039,0.942405,1.241718,0.456578,1.886432
7-Dec,0.276929,-0.340464,0.299087,0.153471,-0.015536,-0.166798,0.194284
8-Jan,0.366397,2.664215,2.87078,1.714945,1.783199,-0.337711,1.823176
8-Feb,0.131312,0.349601,1.602033,0.85623,0.831623,-1.022919,0.002554
8-Mar,0.216572,1.075449,0.411996,-0.902458,-1.509008,-0.933799,0.633962
8-Apr,0.110767,-2.084591,-1.92426,-0.074621,-0.058018,1.423259,0.016598
8-May,0.064,-2.052294,-1.152452,0.169535,-0.410118,-1.847189,-0.512943
8-Jun,0.176158,1.842293,0.532234,0.076589,-0.33551,-0.14885,-0.061829
8-Jul,0.163404,-0.13598,0.693739,0.007363,-0.270011,-1.729019,-0.163531
8-Aug,0.139909,2.45925,1.019084,0.573581,0.729952,1.080502,1.27599
8-Sep,0.228721,0.54578,0.946696,-4.746585,-5.822958,-9.315038,0.843808
8-Oct,0.073734,-3.179112,1.829187,-3.243667,-4.436177,-11.382634,-1.396157
8-Nov,0.059697,12.310615,3.486875,1.263205,2.194242,7.122026,3.992374
8-Dec,0.0043,9.293386,1.330846,1.811966,2.644261,12.263648,1.655517
9-Jan,-0.004837,-8.894495,-1.177378,1.819633,2.233077,-3.249102,0.249384
9-Feb,0.016125,-1.017924,-0.41661,-0.799416,-0.972388,-2.449156,0.567826
9-Mar,0.022571,4.874829,1.458106,-0.032702,-0.155673,-0.920481,1.395329
9-Apr,0.022566,-5.265798,-1.036109,3.047775,3.204052,2.767514,0.312704
9-May,0.006983,-2.731631,-0.465321,2.952119,3.127533,5.772509,0.222375
9-Jun,0.008594,0.691058,-0.612328,1.343717,1.941859,5.484877,0.070845
9-Jul,0.015038,0.577788,0.442047,1.530199,2.510714,6.214025,0.760891
